StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q16,Q12,Q13,Q14
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,When it comes to Electric Cars... - The Price of electric cars today fits my budget.,When it comes to Electric Cars... - The range of today’s electric cars fit my needs. (Distance a car can travel on a single charge),When it comes to Electric Cars... - An electric car would be practical for my household and lifestyle.,When it comes to Electric Cars... - Brand is an important aspect to consider when buying an electric car.,When it comes to Electric Cars... - The main reason I would buy an electric car is to reduce my carbon footprint.,When it comes to Electric Cars... - I will buy a car (either gas/petrol or electric) next 24 months,When it comes to Electric Cars... - The next car I buy will be an electric car.,What aspects of electric cars are most appealing to someone like you?,What is still lacking about electric cars today?,How old are you?,What is your gender?,What is the highest level of education you have achieved?,"What is your household's annual income?
(Optional)",How would you describe your location?,Do you live in the United States?,What state/province do you live in?,What City do you live in?,Do you work in the Automotive Industry?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_9""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID16""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}"
2020-09-13 08:37:42,2020-09-13 08:39:44,Survey Preview,,100,121,True,2020-09-13 08:39:44,R_2ebtbLV0SNJyps8,,,,,40.676300048828125,-73.9492034912109375,preview,EN,Agree,Agree,Agree,Agree,Somewhat disagree,Strongly Disagree,,",jnb",kjbkj,32,Male,Bachelor's Degree,"$120,000 - $160,000",Urban,,New York,New York,No
2020-09-13 08:50:14,2020-09-13 08:55:40,IP Address,98.220.200.137,100,326,True,2020-09-13 08:55:40,R_2tFrfyLojjMas3i,,,,,41.6837005615234375,-88.3498992919921875,anonymous,EN,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Agree,,Low emissions,"Affordability ",49,Male,Bachelor's Degree,"$160,000 - $200,000",Suburban,,Illinois,Yorkville,No
2020-09-13 09:26:21,2020-09-13 09:31:48,IP Address,173.79.14.104,100,327,True,2020-09-13 09:31:49,R_2V8zwuRnsrtsBZb,,,,,38.886505126953125,-77.09110260009765625,anonymous,EN,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,,Cheaper in the long run than gas cars,Price,28,Male,Master's Degree,"$80,000 - 120,000",Urban,,Virginia,Arlington,No
2020-09-13 09:52:20,2020-09-13 09:53:38,IP Address,45.56.142.196,100,78,True,2020-09-13 09:53:38,R_3Rq4aFtNBynpYKN,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,Somewhat disagree,Somewhat disagree,Agree,Agree,Neither agree nor disagree,Disagree,,Not needing to worry about an internal combustion engine.,Probably range and time to charge.,31,Male,Bachelor's Degree,"$80,000 - 120,000",,,Illinois,Chicago,No
2020-09-13 18:58:32,2020-09-13 19:00:04,IP Address,24.228.117.247,100,92,True,2020-09-13 19:00:04,R_2z6nSKMgu19ywoZ,,,,,40.676300048828125,-73.9492034912109375,anonymous,EN,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Disagree,,,,32,Male,Bachelor's Degree,"$160,000 - $200,000",Urban,,New York,New York,No
2020-09-14 07:28:37,2020-09-14 07:28:55,Survey Preview,,100,18,True,2020-09-14 07:28:55,R_1FCHhRfI2KEN9IH,,,,,40.676300048828125,-73.9492034912109375,preview,EN,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,sdfa,asfg,22,Female,,,,,,,
2020-09-14 07:49:21,2020-09-14 07:52:14,IP Address,67.61.165.32,100,172,True,2020-09-14 07:52:14,R_UcIuB5s2xtJna6t,,,,,34.5077056884765625,-97.939300537109375,anonymous,EN,Somewhat agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Technology implemented,"Infrastructure (charge station), stability of power supply (think about california), universal charging ",45,Male,Master's Degree,Click to write Choice 8,Rural,,Oklahoma,N/A,No
2020-09-14 07:49:46,2020-09-14 07:53:15,IP Address,125.161.137.175,100,208,True,2020-09-14 07:53:15,R_1oAaqvc62SKGTSJ,,,,,-6.174102783203125,106.82958984375,anonymous,EN,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Disagree,Disagree,Low maintenance cost and no added fuel cost,Range of electric cars. Usually up to 300 miles,29,Male,Master's Degree,"$80,000 - 120,000",Urban,,WA,Seattle,No
2020-09-14 07:55:51,2020-09-14 07:58:09,IP Address,31.152.250.254,100,137,True,2020-09-14 07:58:09,R_23f95rO7yOE5M3c,,,,,40.5233001708984375,22.2035980224609375,anonymous,EN,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Agree,Disagree,Neither agree nor disagree,Carbon footprint,Competitive prices,33,Male,Master's Degree,,Suburban,,,,No
2020-09-14 08:02:51,2020-09-14 08:05:09,IP Address,50.233.222.126,100,138,True,2020-09-14 08:05:10,R_1ds4G3Ag71HqDCR,,,,,41.8719024658203125,-87.65889739990234375,anonymous,EN,Disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,"Performance and technology ",Fast charging,41,Male,Doctorate Degree,"More than $300,000",Urban,,IL,Chicago,No
2020-09-14 08:03:51,2020-09-14 08:06:07,IP Address,45.27.31.4,100,135,True,2020-09-14 08:06:07,R_10xvd4RaCKIZUhx,,,,,37.7505950927734375,-122.41210174560546875,anonymous,EN,Disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,"Performance ","Variety ",50,Male,Bachelor's Degree,"More than $300,000",Urban,,California,San Francisco,No
2020-09-14 08:07:53,2020-09-14 08:09:00,IP Address,70.120.103.22,100,66,True,2020-09-14 08:09:00,R_1jKc4zeXeU4AbEu,,,,,32.96099853515625,-96.984100341796875,anonymous,EN,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,,,,Male,Master's Degree,"$120,000 - $160,000",Suburban,,,,No
2020-09-14 08:11:35,2020-09-14 08:14:06,IP Address,73.126.96.20,100,151,True,2020-09-14 08:14:06,R_27HXw7MUDSTqFyu,,,,,42.3737030029296875,-71.1284027099609375,anonymous,EN,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Somewhat disagree,Neither agree nor disagree,Disagree,Simpler from a mechanical perspective.,Network of supercharging stations is insufficient in many areas. Note one of the questions above just shows a set of answer choices without a question.,33,Male,Doctorate Degree,,Urban,,MA,Cambridge,No
2020-09-14 08:26:25,2020-09-14 08:27:50,IP Address,174.244.128.98,100,85,True,2020-09-14 08:27:51,R_ZCeR4erTFX8brep,,,,,40.69549560546875,-73.96669769287109375,anonymous,EN,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,,,39,Male,Bachelor's Degree,"$120,000 - $160,000",Urban,,Ny,Nyc,No
2020-09-14 08:24:32,2020-09-14 08:32:15,IP Address,47.208.185.177,100,463,True,2020-09-14 08:32:15,R_1jH6upmaiWjN1mJ,,,,,39.3385009765625,-120.1728973388671875,anonymous,EN,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly Disagree,Neither agree nor disagree,That it's better for the planet,"Affordability ",35,Female,Master's Degree,"More than $300,000",Urban,,CA,Santa Monica,No
2020-09-14 08:32:30,2020-09-14 08:35:21,IP Address,70.121.64.221,100,171,True,2020-09-14 08:35:22,R_2s6VOIi7RmMYvIw,,,,,30.5045013427734375,-97.82089996337890625,anonymous,EN,Disagree,Somewhat agree,Disagree,Agree,Strongly agree,Strongly Disagree,Somewhat agree,It’s overall positive impact on the environment.,Availability of charging ports and the overall range provided by current models.,41,Male,Master's Degree,"$80,000 - 120,000",Suburban,,Texas,Austin,No
2020-09-14 08:46:50,2020-09-14 08:48:25,IP Address,67.133.72.154,100,95,True,2020-09-14 08:48:26,R_3ef6x8aYLYthEm9,,,,,33.7147064208984375,-112.2400970458984375,anonymous,EN,Somewhat disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Agree,Strongly Disagree,Disagree,"The lack of gas ","Range and radiation safety ",40,Female,Bachelor's Degree,"$80,000 - 120,000",Suburban,,"Arizona ","Phoenix ",No
2020-09-14 08:49:33,2020-09-14 08:50:58,IP Address,63.240.136.242,100,84,True,2020-09-14 08:50:58,R_3HzQObYdrJ82yIR,,,,,39.861602783203125,-88.9355010986328125,anonymous,EN,Strongly agree,Somewhat disagree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Not paying for gas,Towing capacity,25,Male,Master's Degree,"$40,000 - 80,000",Rural,,Illinois,Decatur,No
2020-09-14 08:52:10,2020-09-14 08:53:49,IP Address,76.31.136.220,100,98,True,2020-09-14 08:53:49,R_31AdPose0xrlyW1,,,,,29.832305908203125,-95.73600006103515625,anonymous,EN,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,,"More mileage ",39,Female,Master's Degree,"$120,000 - $160,000",Urban,,Texas,Cypress,No
2020-09-14 08:59:47,2020-09-14 09:01:11,IP Address,67.184.118.234,100,84,True,2020-09-14 09:01:11,R_xbh5UylwCiZsMPD,,,,,41.9459991455078125,-87.70330047607421875,anonymous,EN,Disagree,Disagree,Disagree,Agree,Strongly agree,Disagree,Disagree,,,33,Male,Bachelor's Degree,,Urban,,Illinois,Chicago,No
2020-09-14 09:28:33,2020-09-14 09:31:57,IP Address,69.255.197.81,100,203,True,2020-09-14 09:31:57,R_30pLiNmoNKol33l,,,,,39.329803466796875,-76.63500213623046875,anonymous,EN,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat disagree,"I might chose a hybrid option for my next car due to
Fuel efficiency and the long range capability ",Range. It works for most situations when you’re only using the car in the city but I don’t want to chose an car with only a battery.,28,Female,Master's Degree,"$200,000 - $300,000",Urban,,"Maryland ",,No
2020-09-14 09:57:25,2020-09-14 09:59:00,IP Address,71.86.167.53,100,94,True,2020-09-14 09:59:00,R_9ZFZt0LAYGqM1Hz,,,,,43.07000732421875,-89.51059722900390625,anonymous,EN,Strongly Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Carbon footprint,Access to charging,32,Female,Bachelor's Degree,"$80,000 - 120,000",Suburban,,,,No
2020-09-14 10:21:49,2020-09-14 10:24:19,IP Address,174.221.158.232,100,149,True,2020-09-14 10:24:19,R_1NmlCsuSmo3Hq7b,,,,,41.698394775390625,-87.70310211181640625,anonymous,EN,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,,"Charging stations and charging speed ",40,Male,Master's Degree,"$200,000 - $300,000",Urban,,IL,Chicago,No
2020-09-14 11:24:31,2020-09-14 11:27:24,IP Address,64.53.248.245,100,172,True,2020-09-14 11:27:24,R_1MXQ1HvMBibLjQ6,,,,,42.0128021240234375,-88.09670257568359375,anonymous,EN,Strongly Disagree,Strongly Disagree,Somewhat disagree,Agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,"Speed off the line, use of them to promote autonomy. ","Driving distance, charging infrastructure, styling, cost. ",28,Female,Master's Degree,"$120,000 - $160,000",Suburban,,"Illinois ","Rolling Meadows ",Yes
2020-09-14 11:53:07,2020-09-14 11:54:53,IP Address,70.95.68.217,100,105,True,2020-09-14 11:54:53,R_123AMENzwD6CAb0,,,,,32.9510955810546875,-117.22409820556640625,anonymous,EN,Strongly Disagree,Somewhat disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Disagree,Range,Range and price,30,Male,Master's Degree,"$160,000 - $200,000",Suburban,,"California ",San Diego,No
2020-09-14 11:54:55,2020-09-14 11:56:44,IP Address,71.57.101.241,100,108,True,2020-09-14 11:56:44,R_12sAus5W7dVdjI7,,,,,41.59100341796875,-88.04840087890625,anonymous,EN,Somewhat agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Somewhat agree,"Reduce carbon footprint ","More variety ",37,Male,Bachelor's Degree,"$120,000 - $160,000",Suburban,,Illinois,Lemont,No
2020-09-14 12:00:07,2020-09-14 12:01:07,IP Address,50.205.61.98,100,60,True,2020-09-14 12:01:08,R_1je7HE41YBv4q4r,,,,,29.8365020751953125,-95.4376983642578125,anonymous,EN,Disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat agree,Disagree,Strongly Disagree,Acceleration,Range,44,Male,Bachelor's Degree,"$120,000 - $160,000",Suburban,,Texas,Houston,No
2020-09-14 11:14:52,2020-09-14 12:01:28,IP Address,162.119.16.13,100,2795,True,2020-09-14 12:01:28,R_UFoyvAcQYnlgbyp,,,,,37.7368927001953125,-122.24269866943359375,anonymous,EN,Disagree,Disagree,Somewhat agree,Agree,Disagree,Agree,Neither agree nor disagree,"Fuel savings. Instant torque. Future tech. ","Price. Charging takes too long. Tesla or bust. ",34,Male,Master's Degree,"$200,000 - $300,000",Suburban,,California,Newark,No
2020-09-14 14:52:21,2020-09-14 15:16:16,IP Address,50.4.81.165,100,1435,True,2020-09-14 15:16:17,R_2dWPLqeYfFegFSo,,,,,41.246307373046875,-81.83100128173828125,anonymous,EN,Somewhat agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,"reduced emissions , gives almost the same features as a regular car ,  low maintainance ,  Tax breaks , ","longer recharge times , short running distance and un reliability around charging stations. 
",38,Male,Bachelor's Degree,,Urban,,ohio,cleveland,No
2020-09-14 16:54:57,2020-09-14 16:56:22,IP Address,99.52.170.129,100,84,True,2020-09-14 16:56:22,R_2pXXE6pwR2W1hWp,,,,,41.946197509765625,-88.07579803466796875,anonymous,EN,Somewhat agree,Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,No gas,Range,46,Male,Master's Degree,"More than $300,000",Suburban,,"Illinois ",,No
2020-09-14 17:10:35,2020-09-14 17:12:44,IP Address,98.209.34.118,100,128,True,2020-09-14 17:12:44,R_3oO1DDyWiaJq5pI,,,,,42.66259765625,-83.1837005615234375,anonymous,EN,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,If electricity was made from renewable resources in my city,City has to make electricity from renewable resources,37,Female,Master's Degree,"$120,000 - $160,000",Urban,,Michigan,Rochester Hills,No
2020-09-14 17:29:25,2020-09-14 17:33:58,IP Address,68.190.216.223,100,273,True,2020-09-14 17:33:58,R_27Kk38ILiI46TaF,,,,,34.14239501953125,-118.125701904296875,anonymous,EN,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly Disagree,Agree,"reduce carbon footprint, performance, low maintenance ",available charging in many residential places,36,Male,Master's Degree,"$80,000 - 120,000",Urban,,CA,Pasadena,Yes
2020-09-14 17:37:42,2020-09-14 17:40:35,IP Address,199.7.157.2,100,173,True,2020-09-14 17:40:35,R_1dsQL7Fkj4INpY9,,,,,43.654693603515625,-79.36229705810546875,anonymous,EN,Somewhat disagree,Agree,Agree,Somewhat disagree,Strongly agree,Strongly agree,Agree,"Lower carbon emissions, ease of maintenance. Also interested in being part of the future landscape of transport.",Mainly price. It’s close to affordable but a major investment. The technology also changes fast.,46,Male,Master's Degree,"$120,000 - $160,000",Urban,,Ontario,"Ottawa ",No
2020-09-14 17:51:45,2020-09-14 17:54:02,IP Address,67.169.164.22,100,136,True,2020-09-14 17:54:02,R_2dxS9Hevx3bkwbS,,,,,37.3177032470703125,-122.04380035400390625,anonymous,EN,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Strongly agree,Strongly Disagree,Neither agree nor disagree,"Range, affordability",Recharge time is too long,39,Male,Master's Degree,"$200,000 - $300,000",Urban,,CA,San Jose,No
2020-09-14 17:59:15,2020-09-14 18:01:05,IP Address,65.79.144.127,100,109,True,2020-09-14 18:01:05,R_3h4pT2e8izzKfM3,,,,,41.95550537109375,-87.6613006591796875,anonymous,EN,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Disagree,Strongly Disagree,Disagree,No gas,Price,36,Male,Doctorate Degree,"$200,000 - $300,000",Urban,,Il,Chicago,No
2020-09-14 18:06:03,2020-09-14 18:07:28,IP Address,68.193.40.176,100,85,True,2020-09-14 18:07:29,R_PTAeUbyQyfhUi9b,,,,,40.927703857421875,-74.34279632568359375,anonymous,EN,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,"Eco friendly ",Family friendly and cost effective,34,Female,Master's Degree,"More than $300,000",Suburban,,New Jersey,,No
2020-09-14 18:33:46,2020-09-14 18:36:44,IP Address,217.180.232.14,100,177,True,2020-09-14 18:36:44,R_3MFr8v4dHksNsBU,,,,,41.9976959228515625,-88.6923980712890625,anonymous,EN,Disagree,Somewhat disagree,Somewhat disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly agree,Reduced use of gasoline and reduced cost of driving. Also the time saved from needing to get gas.,"Range, and affordability.",32,Male,Bachelor's Degree,"$120,000 - $160,000",Suburban,,Illinois,"Oswego ",No
2020-09-14 18:38:56,2020-09-14 18:42:17,IP Address,71.223.160.41,100,201,True,2020-09-14 18:42:17,R_2idSWa6bl2ZEsNj,,,,,33.5612945556640625,-112.14420318603515625,anonymous,EN,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,"Environment 
Tax Benefits
Drive","I have been using electric for 4.5 years and they are perfect for my needs. ",40,Male,Doctorate Degree,,Suburban,,Arizona,"Phoenix ",No
2020-09-14 19:01:20,2020-09-14 19:02:32,IP Address,73.247.97.244,100,71,True,2020-09-14 19:02:32,R_3qwzvXQqlaVJX5i,,,,,42.161407470703125,-87.96600341796875,anonymous,EN,Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Savings on gas prices,"How far they can go, infrastructure for easy re-charging",41,Female,Doctorate Degree,,Suburban,,Illinois,Chicago,No
