name_titlecase,Name,Abbreviation
Alabama,ALABAMA,AL
Alaska,ALASKA,AK
Arizona,ARIZONA,AZ
Arkansas,ARKANSAS,AR
California,CALIFORNIA,CA
Colorado,COLORADO,CO
Connecticut,CONNECTICUT,CT
Delaware,DELAWARE,DE
District of Columbia,DISTRICT OF COLUMBIA,DC
Florida,FLORIDA,FL
Georgia,GEORGIA,GA
Hawaii,HAWAII,HI
Idaho,IDAHO,ID
Illinois,ILLINOIS,IL
Indiana,INDIANA,IN
Iowa,IOWA,IA
Kansas,KANSAS,KS
Kentucky,KENTUCKY,KY
Louisiana,LOUISIANA,LA
Maine,MAINE,ME
Maryland,MARYLAND,MD
Massachusetts,MASSACHUSETTS,MA
Michigan,MICHIGAN,MI
Minnesota,MINNESOTA,MN
Mississippi,MISSISSIPPI,MS
Missouri,MISSOURI,MO
Montana,MONTANA,MT
Nebraska,NEBRASKA,NE
Nevada,NEVADA,NV
New Hampshire,NEW HAMPSHIRE,NH
New Jersey,NEW JERSEY,NJ
New Mexico,NEW MEXICO,NM
New York,NEW YORK,NY
North Carolina,NORTH CAROLINA,NC
North Dakota,NORTH DAKOTA,ND
Ohio,OHIO,OH
Oklahoma,OKLAHOMA,OK
Oregon,OREGON,OR
Pennsylvania,PENNSYLVANIA,PA
Rhode Island,RHODE ISLAND,RI
South Carolina,SOUTH CAROLINA,SC
South Dakota,SOUTH DAKOTA,SD
Tennessee,TENNESSEE,TN
Texas,TEXAS,TX
Utah,UTAH,UT
Vermont,VERMONT,VT
Virginia,VIRGINIA,VA
Washington,WASHINGTON,WA
West Virginia,WEST VIRGINIA,WV
Wisconsin,WISCONSIN,WI
Wyoming,WYOMING,WY